County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",,,
Anderson,4/5N,"6,200","3,213","2,591",622,"48,045","8,658","2,051",833,"20,206",,,
Andrews,9/10,"1,600","2,939","2,317",622,"13,503","1,833",309,106,"5,450",,,
Angelina,4/5N,"15,700","12,324","8,460","3,864","67,056","14,422","6,534","1,752","28,054",,,
Aransas,11,"1,100","2,554","1,974",580,"19,803","6,791",370,252,"6,701",,,
Archer,2/3,700,"1,548","1,094",454,"6,921","1,677",80,13,"2,381",,,
Armstrong,1,400,529,343,186,"1,499",470,32,86,466,,,
Atascosa,8,"3,600","4,271","3,073","1,198","38,768","7,605","1,124",651,"15,239",,,
Austin,6/5S,"2,000","4,102","3,143",959,"23,704","5,933",667,396,"7,873",,,
Bailey,1,"5,475","2,022","1,405",617,"5,089","1,036",114,74,"1,982",,,
Bandera,8,500,"2,284","1,829",455,"19,763","6,439",352,180,"6,555",,,
Bastrop,7,"7,500","5,059","3,579","1,480","68,839","13,865","1,462",696,"29,356",,,
Baylor,2/3,"2,950","1,198",825,373,"2,793",844,137,97,908,,,
Bee,11,"16,925","7,712","5,481","2,231","26,496","4,091",981,684,"11,359",,,
Bell,7,"49,450","33,436","22,667","10,769","272,969","40,534","15,894","2,466","95,066",,,
Bexar,8,"376,100","260,618","186,059","74,559","1,552,823","247,843","100,704","17,248","614,646",,,
Blanco,7,900,"1,884","1,559",325,"10,092","3,004",90,102,"3,388",,,
Borden,9/10,0,70,51,19,543,174,9,0,163,,,
Bosque,7,"2,900","1,901","1,256",645,"15,224","4,741",624,407,"5,126",,,
Bowie,4/5N,"13,350","6,262","4,147","2,115","73,689","15,832","6,332","1,467","29,102",,,
Brazoria,6/5S,"32,000","46,762","33,042","13,720","287,683","45,752","9,762","2,648","105,966",,,
Brazos,7,"29,100","19,063","15,277","3,786","186,843","21,693","7,514","1,414","59,619",,,
Brewster,9/10,"1,300","2,149","1,833",316,"7,706","2,231",303,0,"2,579",,,
Briscoe,1,400,550,389,161,"1,272",404,19,0,452,,,
Brooks,11,900,"1,137",971,166,"5,317","1,308",323,246,"2,253",,,
Brown,2/3,"2,700","3,384","2,477",907,"30,883","7,720","1,663",911,"11,188",,,
Burleson,7,800,"1,879","1,416",463,"14,869","3,867",143,218,"5,600",,,
Burnet,7,"6,425","4,214","3,281",933,"39,239","10,999","1,823",595,"13,132",,,
Caldwell,7,"3,300","2,968","2,120",848,"34,853","6,512","1,286",524,"14,114",,,
Calhoun,8,"1,200","2,214","1,590",624,"16,817","3,981",470,384,"6,161",,,
Callahan,2/3,"1,000","1,497","1,085",412,"11,263","2,958",146,122,"4,094",,,
Cameron,11,"76,750","67,480","47,529","19,951","311,689","58,607","29,737","6,315","127,806",,,
Camp,4/5N,300,923,688,235,"10,031","2,494",207,152,"3,927",,,
Carson,1,200,"1,123",742,381,"4,718","1,250",60,0,"1,547",,,
Cass,4/5N,500,"1,031",699,332,"24,182","6,856","1,216",550,"9,010",,,
Castro,1,800,"1,246",922,324,"5,607","1,236",121,174,"2,168",,,
Chambers,6/5S,"9,200","3,855","2,711","1,144","33,062","5,259",958,244,"12,484",,,
Cherokee,4/5N,"6,100","4,554","3,346","1,208","40,876","9,444","1,500",738,"16,376",,,
Childress,1,"1,500","1,201",710,491,"6,094","1,165",251,136,"2,395",,,
Clay,2/3,"4,300","2,685","2,176",509,"8,666","2,484",136,60,"3,011",,,
Cochran,1,400,637,516,121,"2,188",468,57,0,956,,,
Coke,9/10,0,443,329,114,"2,756",947,47,130,899,,,
Coleman,2/3,800,892,559,333,"6,721","2,119",342,162,"2,379",,,
Collin,2/3,"120,750","136,602","106,408","30,194","801,716","116,575","38,139","7,817","236,374",,,
Collingsworth,1,500,540,371,169,"2,263",555,80,92,847,,,
Colorado,6/5S,"2,400","2,735","2,188",547,"17,107","4,850",853,477,"5,957",,,
Comal,8,"17,500","19,130","14,751","4,379","125,307","28,528","5,457","1,845","38,712",,,
Comanche,2/3,"2,850","2,031","1,493",538,"10,944","3,330",330,292,"3,738",,,
Concho,9/10,300,495,428,67,"2,288",689,76,66,815,,,
Cooke,2/3,"4,100","3,842","2,685","1,157","32,675","7,804",948,552,"11,640",,,
Coryell,7,"7,075","5,516","4,297","1,219","60,428","8,040","1,178",610,"22,789",,,
Cottle,2/3,0,141,103,38,"1,123",339,5,0,446,,,
Crane,9/10,"2,150",753,625,128,"3,554",594,71,110,"1,353",,,
Crockett,9/10,0,777,536,241,"2,694",612,31,56,"1,031",,,
Crosby,1,"2,350","1,367","1,137",230,"4,421","1,085",98,115,"1,771",,,
Culberson,9/10,400,366,291,75,"1,746",480,67,0,722,,,
Dallam,1,"4,800","1,580","1,437",143,"5,217",857,40,0,"2,067",,,
Dallas,2/3,"456,375","308,637","229,682","78,955","2,028,105","292,117","142,713","21,399","730,851",,,
Dawson,9/10,700,950,770,180,"9,789","1,898",304,112,"4,206",,,
Deaf Smith,1,"1,900","2,238","1,541",697,"13,439","2,423",238,147,"5,332",,,
Delta,4/5N,200,485,379,106,"4,222","1,118",379,100,"1,580",,,
