submission_date,state,tot_cases
2/11/21,VT,13249
2/11/21,MT,96842
2/11/21,FSM,1
2/11/21,OH,931437
2/11/21,WV,126420
2/11/21,CT,266499
2/11/21,TN,752033
2/11/21,NH,69612
2/11/21,AK,54134
2/11/21,MA,533154
2/11/21,VI,2524
2/11/21,TX,2529343
2/11/21,PA,884269
2/11/21,CA,3371556
2/11/21,RI,120381
2/11/21,ID,166876
2/11/21,MD,368977
2/11/21,SD,109859
2/11/21,MI,626477
2/11/21,NE,195441
2/11/21,ND,98466
2/11/21,NM,179323
2/11/21,OK,413641
2/11/21,MS,285648
2/11/21,MP,134
2/11/21,VA,544209
2/11/21,OR,149082
2/11/21,IL,1155833
2/11/21,NJ,736330
2/11/21,KS,284894
2/11/21,DC,38533
2/11/21,MO,470107
2/11/21,NY,859076
2/11/21,NYC,661248
2/11/21,RMI,4
2/11/21,ME,42259
2/11/21,AR,311043
2/11/21,KY,384903
2/11/21,WI,604683
2/11/21,PR,96924
2/11/21,HI,25905
2/11/21,UT,358581
2/11/21,FL,1774013
2/11/21,GU,7689
2/11/21,SC,476287
2/11/21,AL,477570
2/11/21,WY,52979
2/11/21,DE,81875
2/11/21,LA,417415
2/11/21,WA,326159
2/11/21,NV,286387
2/11/21,CO,409683
2/11/21,AZ,791106
2/11/21,GA,955085
2/11/21,AS,3
2/11/21,IN,645006
2/11/21,IA,327426
2/11/21,PW,0
2/11/21,NC,810466
2/11/21,MN,470803
2/10/21,GU,7686
2/10/21,AK,53991
2/10/21,MI,624970
2/10/21,AL,476067
2/10/21,MA,530941
2/10/21,PR,96636
2/10/21,LA,414687
2/10/21,IL,1152995
2/10/21,PA,880291
2/10/21,FSM,1
2/10/21,PW,0
2/10/21,CO,407961
2/10/21,RMI,4
2/10/21,MD,367865
2/10/21,NY,854170
2/10/21,CA,3362981
2/10/21,KS,284894
2/10/21,NYC,656739
2/10/21,AS,3
2/10/21,NM,178790
2/10/21,OR,148475
2/10/21,OK,412319
